# doc_id: p1074_35556036861656
# work_id: 
# title: Motor carrier commercial zones and terminal areas : environmental impact statement.
# pass: reveal
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# REVEAL PASS (MCAL_PLAN 7 Q5). critic_verdict, critic_failure_tag and critic_notes are shown for META-ANALYSIS ONLY. Fill this sheet only after the blind pass is complete. The Critic's notes are in critic_notes; your_notes is yours.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,critic_verdict,critic_failure_tag,critic_notes,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
summary_of_interest[0],"{""claim"": ""Two ICC commissioners plus the Chairman dissented from the majority, calling the rule 'tantamount to a deregulatory effort' that lacked hard economic and legal justification in the record."", ""salience_criterion"": ""contested"", ""page"": 134, ""evidence_quote"": ""inasmuch as the effect of the majority's findings is tantamount to a deregulatory effort on the Commission's part, the public interest demands that legal and economic justification for such findings, therefore, should be far more solid than is indicated in this report."", ""why_notable"": ""A dissent from the Chairman and two commissioners characterizing their own agency's final rule as de facto deregulation is an unusually sharp internal split for a rulemaking record.""}","[p.134] inasmuch as the effect of the majority's findings is tantamount to a deregulatory effort on the Commission's part, the public interest demands that legal and economic justification for such findings, therefore, should be far more solid than is indicated in this report.",134,yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Entry 1 claims 'Two ICC commissioners plus the Chairman dissented from the majority.' Page 134 shows Commissioner Hardin dissenting, joined by Chairman Stafford and Commissioner Murphy — that is one commissioner writing the dissent joined by the Chairman and one other commissioner (total three, but the framing 'two commissioners plus the Chairman' is a factual mischaracterization of who wrote/join; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.650,,,,
summary_of_interest[1],"{""claim"": ""Small short-haul carriers argued the rule was an unconstitutional Fifth Amendment 'taking' of the value of their operating certificates, and predicted losing 20 to 70 percent of their volume and revenues."", ""salience_criterion"": ""large_magnitude"", ""page"": 168, ""evidence_quote"": ""Many carriers have stated that they would lose from 20 to 70 percent of their volume and revenues as a result of expanded C/Z's-T/A's."", ""why_notable"": ""A predicted 20–70 percent revenue loss for an entire class of regulated firms, framed as a constitutional taking, is an unusually large economic impact for a boundary-drawing rule.""}",[p.168] Many carriers have stated that they would lose from 20 to 70 percent of their volume and revenues as a result of expanded C/Z's-T/A's.,168,yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Entry 1 claims 'Two ICC commissioners plus the Chairman dissented from the majority.' Page 134 shows Commissioner Hardin dissenting, joined by Chairman Stafford and Commissioner Murphy — that is one commissioner writing the dissent joined by the Chairman and one other commissioner (total three, but the framing 'two commissioners plus the Chairman' is a factual mischaracterization of who wrote/join; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.650,,,,
summary_of_interest[2],"{""claim"": ""The Commission refused to hold oral hearings or permit cross-examination and rejected demands for joint boards with state regulators, holding that rulemakings on 'legislative facts' require none of these."", ""salience_criterion"": ""contested"", ""page"": 50, ""evidence_quote"": ""in a rulemaking proceeding, where an administrative body undertakes legislative action of a prospective nature applicable to a general class of persons, and where no adjudicative facts are in dispute, there is no constitutional right to an oral hearing"", ""why_notable"": ""The document stakes out an explicit procedural doctrine denying oral hearings and cross-examination in a proceeding where carriers claimed their property was being taken, testing the limits of Administrative Procedure Act (APA) rulemaking process.""}","[p.50] in a rulemaking proceeding, where an administrative body undertakes legislative action of a prospective nature applicable to a general class of persons, and where no adjudicative facts are in dispute, there is no constitutional right to an oral hearing",50,yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Entry 1 claims 'Two ICC commissioners plus the Chairman dissented from the majority.' Page 134 shows Commissioner Hardin dissenting, joined by Chairman Stafford and Commissioner Murphy — that is one commissioner writing the dissent joined by the Chairman and one other commissioner (total three, but the framing 'two commissioners plus the Chairman' is a factual mischaracterization of who wrote/join; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.650,,,,
summary_of_interest[3],"{""claim"": ""Commenters warned that industrial buildout in the new ring around Minneapolis-St. Paul would damage water bodies, wetlands, groundwater recharge areas, agricultural land, and habitat for rare species — impacts the ICC declined to analyze, saying local zoning should handle it."", ""salience_criterion"": ""unusual_impact"", ""page"": 194, ""evidence_quote"": ""Industrial development in the ring between boundaries of the present Commercial Zone of Minneapolis-St. Paul and the proposed 15 mile zone would have extremely serious adverse environmental consequences in such areas as water bodies and water courses, ground water recharge areas, wet lands, soils, agricultural lands, and unique or endangered plants and animals."", ""why_notable"": ""Analyzing wetlands and endangered species impacts as consequences of a freight-regulation boundary line — and then deferring them to local land-use control — is an atypical National Environmental Policy Act of 1969 (NEPA) framing that essentially disclaims the induced-development question.""}","[p.194] Industrial development in the ring between boundaries of the present Commercial Zone of Minneapolis-St. Paul and the proposed 15 mile zone would have extremely serious adverse environmental consequences in such areas as water bodies and water courses, ground water recharge areas, wet lands, soils, agricultural lands, and unique or endangered plants and animals.",194,yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Entry 1 claims 'Two ICC commissioners plus the Chairman dissented from the majority.' Page 134 shows Commissioner Hardin dissenting, joined by Chairman Stafford and Commissioner Murphy — that is one commissioner writing the dissent joined by the Chairman and one other commissioner (total three, but the framing 'two commissioners plus the Chairman' is a factual mischaracterization of who wrote/join; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.650,,,,
summary_of_interest[4],"{""claim"": ""A commenter (A-C Berwick) submitted its own substitute environmental impact statement, which the Commission refused to adopt on the ground that letting a party draft the Environmental Impact Statement (EIS) would risk 'biased and self-serving statements.'"", ""salience_criterion"": ""novel_alternative"", ""page"": 196, ""evidence_quote"": ""A-C Berwick has prepared a substitute environmental impact statement which it alleges reflects more accurately the evidence of record."", ""why_notable"": ""A private party drafting and formally submitting a rival Environmental Impact Statement (EIS) for agency adoption is an unusual procedural move that the record squarely rejects on National Environmental Policy Act of 1969 (NEPA) authorship grounds.""}",[p.196] A-C Berwick has prepared a substitute environmental impact statement which it alleges reflects more accurately the evidence of record.,196,yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Entry 1 claims 'Two ICC commissioners plus the Chairman dissented from the majority.' Page 134 shows Commissioner Hardin dissenting, joined by Chairman Stafford and Commissioner Murphy — that is one commissioner writing the dissent joined by the Chairman and one other commissioner (total three, but the framing 'two commissioners plus the Chairman' is a factual mischaracterization of who wrote/join; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.650,,,,
summary_of_interest[5],"{""claim"": ""The rule was framed by dissenters and opponents as de facto deregulation accomplished by geographic redefinition rather than by statute, preceding by roughly a year the Motor Carrier Act deregulation debates."", ""salience_criterion"": ""precedent"", ""page"": 22, ""evidence_quote"": ""They assert that zone expansion is tantamount to deregulation of their operations, allowing exempt carriers to compete with them."", ""why_notable"": ""The record repeatedly characterizes an ostensibly technical boundary rule as accomplishing deregulation through the back door, a framing that carries precedential weight for later ICC actions.""}","[p.22] They assert that zone expansion is tantamount to deregulation of their operations, allowing exempt carriers to compete with them.",22,yes,HUMAN_REVIEW,T03_outside_text_fabrication,"Entry 1 claims 'Two ICC commissioners plus the Chairman dissented from the majority.' Page 134 shows Commissioner Hardin dissenting, joined by Chairman Stafford and Commissioner Murphy — that is one commissioner writing the dissent joined by the Chairman and one other commissioner (total three, but the framing 'two commissioners plus the Chairman' is a factual mischaracterization of who wrote/join; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.650,,,,
alternatives[0],"{""name"": ""No Action"", ""description"": ""Retain the existing population-mileage formula and continue defining individual commercial zones only when specifically requested, maintaining the status quo.""}","[p.186] One alternative is to retain the present population-mileage formula, and continue to define individual zones when requested to do so.",186,yes,HUMAN_REVIEW,T04_undefined_acronym,"The acronyms SMSA (Standard Metropolitan Statistical Area) and SCSA (Standard Consolidated Statistical Area) are used in the extracted value without expansion on first use within the field itself. The document does expand them on page 189, but the extracted value's description for 'Use of SMSAs or SCSAs' uses the acronyms without defining them inline. All other claims are well-supported by the cit; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.850,,,,
alternatives[1],"{""name"": ""Eliminate Population-Mileage Formula"", ""description"": ""Replace the population-mileage formula with a city-by-city approach to defining commercial zones, allowing each city's unique demographic, economic, and industrial characteristics to determine its zone boundaries.""}","[p.186] A city-by-city commercial zone definition would result in the most accurate reflection of demographic, economic, and industrial characteristics for each city.",186,yes,HUMAN_REVIEW,T04_undefined_acronym,"The acronyms SMSA (Standard Metropolitan Statistical Area) and SCSA (Standard Consolidated Statistical Area) are used in the extracted value without expansion on first use within the field itself. The document does expand them on page 189, but the extracted value's description for 'Use of SMSAs or SCSAs' uses the acronyms without defining them inline. All other claims are well-supported by the cit; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.850,,,,
alternatives[2],"{""name"": ""Expansion of Proposed Formula"", ""description"": ""Apply a more expansive population-mileage formula, as recommended by A.D. Little, that would create larger commercial zones than the proposed action across all population categories.""}","[p.187] There are a variety of other formulas which could be applied in order to determine commercial zones. For example, A.D. Little recommends that the formula be adjusted as follows:",187,yes,HUMAN_REVIEW,T04_undefined_acronym,"The acronyms SMSA (Standard Metropolitan Statistical Area) and SCSA (Standard Consolidated Statistical Area) are used in the extracted value without expansion on first use within the field itself. The document does expand them on page 189, but the extracted value's description for 'Use of SMSAs or SCSAs' uses the acronyms without defining them inline. All other claims are well-supported by the cit; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.850,,,,
alternatives[3],"{""name"": ""Ring Approach"", ""description"": ""Measure commercial zone boundaries as a ring with a fixed radius from the center of the city rather than as a contour measured outward from city limits, which would simplify delineation while capturing approximately the same population.""}",[p.174] Adoption of the ring approach rather than the contour approach,174,yes,HUMAN_REVIEW,T04_undefined_acronym,"The acronyms SMSA (Standard Metropolitan Statistical Area) and SCSA (Standard Consolidated Statistical Area) are used in the extracted value without expansion on first use within the field itself. The document does expand them on page 189, but the extracted value's description for 'Use of SMSAs or SCSAs' uses the acronyms without defining them inline. All other claims are well-supported by the cit; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.850,,,,
alternatives[4],"{""name"": ""Different Formula for Cities with Physical Limitations"", ""description"": ""Apply an increased mileage formula—50 percent greater than the standard formula—for cities whose growth is constrained by natural physical barriers such as oceans, lakes, or deserts.""}","[p.188] A.D. Little recommends that, in order to compensate for this lack of available land to develop, the formula for cities having physical limitations should be increased by 50 percent.",188,yes,HUMAN_REVIEW,T04_undefined_acronym,"The acronyms SMSA (Standard Metropolitan Statistical Area) and SCSA (Standard Consolidated Statistical Area) are used in the extracted value without expansion on first use within the field itself. The document does expand them on page 189, but the extracted value's description for 'Use of SMSAs or SCSAs' uses the acronyms without defining them inline. All other claims are well-supported by the cit; gate_reason=bucket_degenerate_severe; gated_to_human=true",composite=0.850,,,,
