# doc_id: p1074_35556036522308
# work_id: 
# title: Vinyl chloride emission standard : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
summary_of_interest[0],"{""claim"": ""Environmental Protection Agency (EPA) acknowledges that controlling vinyl chloride by incineration could push nearby hydrogen chloride (HCl) concentrations to or above foreign standards and National Academy of Sciences public-exposure guidelines under worst-case weather — meaning the rule may partly trade one hazardous air pollutant for another."", ""salience_criterion"": ""unusual_impact"", ""page"": 10, ""evidence_quote"": ""diffusion model results indicate that under \""worst-case\"" meteorological conditions, the hydrogen chloride emissions from the process equipment and the incinerator combined would cause maximum ambient concentrations of hydrogen chloride in the vicinity of ethylene dichloride-vinyl chloride plants to be in the same range or somewhat higher than existing foreign standards and National Academy of Sciences (NAS) guidelines for public exposure."", ""why_notable"": ""A rule designed to protect public health from one hazardous air pollutant is expected to raise ambient levels of a second hazardous pollutant to guideline-exceeding levels near the same communities.""}","[p.10] diffusion model results indicate that under ""worst-case"" meteorological conditions, the hydrogen chloride emissions from the process equipment and the incinerator combined would cause maximum ambient concentrations of hydrogen chloride in the vicinity of ethylene dichloride-vinyl chloride plants to be in the same range or somewhat higher than existing foreign standards and National Academy of Sciences (NAS) guidelines for public exposure.",10,yes,composite=0.400,,,,
summary_of_interest[1],"{""claim"": ""The Environmental Defense Fund and other commenters pushed for a one-year phaseout of substitutable PVC uses and a total ban on vinyl chloride within three years — a far more sweeping approach than the section 112 emission-standard framework Environmental Protection Agency (EPA) was using."", ""salience_criterion"": ""novel_alternative"", ""page"": 32, ""evidence_quote"": ""The vinyl chloride standard is not stringent enough. More stringent restrictions could include (1) no variances on time schedules to install the best available controls, (2) zero emission limits for substitutable uses of polyvinyl chloride plastics after one year, and (3) zero emissions for all sources of vinyl chloride after three years."", ""why_notable"": ""Commenters proposed effectively banning a major industrial commodity chemical, an alternative well outside the standard emission-control menu Environmental Protection Agency (EPA) analyzed.""}","[p.32] The vinyl chloride standard is not stringent enough. More stringent restrictions could include (1) no variances on time schedules to install the best available controls, (2) zero emission limits for substitutable uses of polyvinyl chloride plastics after one year, and (3) zero emissions for all sources of vinyl chloride after three years.",32,yes,composite=0.400,,,,
summary_of_interest[2],"{""claim"": ""Environmental Protection Agency (EPA) chose a linear no-threshold cancer risk model over industry's preferred log-probit model, a methodological choice that industry argued would place calculated risks about ten times higher — a foundational disagreement about how to quantify carcinogen risk."", ""salience_criterion"": ""contested"", ""page"": null, ""evidence_quote"": ""The risk assessment should have been based on the log-probit model, rather than the linear no-threshold model.... It is possible that if this were done, the risks would be approximately one-tenth of the current estimates."", ""why_notable"": ""The dispute is not about specific control technologies but about the underlying dose-response model, and the choice moves the estimated risk by an order of magnitude.""}","[no page cited] [NO] The risk assessment should have been based on the log-probit model, rather than the linear no-threshold model.... It is possible that if this were done, the risks would be approximately one-tenth of the current estimates.",,no,composite=0.400,,,,
summary_of_interest[3],"{""claim"": ""Environmental Protection Agency (EPA) refused to add malfunction, startup, or variance exemptions to the rule, an unusually strict posture it explicitly ties to section 112's treatment of hazardous air pollutants — signaling how EPA intends to handle future hazardous-pollutant standards."", ""salience_criterion"": ""precedent"", ""page"": 131, ""evidence_quote"": ""Because of the serious nature of the health effects of pollutants regulated under section 112, EPA has determined that it would not be appropriate to consider adding malfunction provisions to the regulation"", ""why_notable"": ""Environmental Protection Agency (EPA) is drawing a categorical line for section 112 pollutants that departs from more flexible treatment typical of other Clean Air Act rules.""}","[p.131] Because of the serious nature of the health effects of pollutants regulated under section 112, EPA has determined that it would not be appropriate to consider adding malfunction provisions to the regulation",131,yes,composite=0.400,,,,
summary_of_interest[4],"{""claim"": ""Roughly 4.6 million people live within five miles of these plants, and 14 of 17 ethylene dichloride-vinyl chloride plants are clustered along the Texas–Louisiana Gulf Coast — a heavy concentration of a hazardous-pollutant risk in a single region."", ""salience_criterion"": ""large_magnitude"", ""page"": 31, ""evidence_quote"": ""The fourteen of seventeen plants referred to are ethylene dichloride-vinyl chloride plants, and these plants are located mainly in Southwest Texas and Southern Louisiana."", ""why_notable"": ""The geographic concentration means the rule's benefits (and any HCl side effects) fall disproportionately on Gulf Coast petrochemical-corridor communities.""}","[p.31] The fourteen of seventeen plants referred to are ethylene dichloride-vinyl chloride plants, and these plants are located mainly in Southwest Texas and Southern Louisiana.",31,yes,composite=0.400,,,,
summary_of_interest[5],"{""claim"": ""Environmental Protection Agency (EPA)'s earlier prediction that four plants would shut down proved wrong for three of them, which told EPA they will remain open — an unusual explicit acknowledgment that the agency's economic impact forecast was substantially off."", ""salience_criterion"": ""contested"", ""page"": 100, ""evidence_quote"": ""The number of plant shutdowns was inaccurately estimated, in that three out of four plants EPA forecasted would close have since told EPA they will not close."", ""why_notable"": ""The record documents a direct factual reversal of Environmental Protection Agency (EPA)'s own economic feasibility analysis, a rare on-the-record correction of a shutdown prediction.""}","[p.100] The number of plant shutdowns was inaccurately estimated, in that three out of four plants EPA forecasted would close have since told EPA they will not close.",100,yes,composite=0.400,,,,
alternatives,[],,,,composite=0.150,,,,
themes,"{""themes"": [""Industrial Production and Materials"", ""Governance and Institutional Control""], ""subthemes"": [""Industrial Manufacturing and Pollution"", ""Environmental Regulation and Policy"", ""Resource Extraction and Material Flows"", ""Community Resistance and Activism""]}","[p.7, 99] EPA proposed a national emission standard for vinyl chloride under the authority of section 112 of the Clean Air Act","7, 99",yes,composite=0.650,,,,
location,"{""places"": [], ""is_multi_site"": false, ""geocoded"": [], ""scope"": ""national"", ""textual_location"": ""national"", ""corridor"": false}",,,,composite=0.150,,,,
key_people.agency_preparers,,,,,composite=0.150,,,,
key_people.cooperating_agencies,,,,,composite=0.150,,,,
key_people.consulted_entities,,,,,composite=0.150,,,,
key_people.public_commenters,,,,,composite=0.150,,,,
key_people.summary,"{""comment_response_present"": false}",,,,composite=0.150,,,,
