# doc_id: p1074_35556036855435
# work_id: 
# title: Rio Grande, Amistad hydroelectric plant : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
summary_of_interest[0],"{""claim"": ""The Fish and Wildlife Service told the International Boundary and Water Commission (IBWC) it could not meaningfully evaluate the project's fishery impacts without a $3,500 funding transfer from the IBWC to its Fort Worth office — a small but unusual instance of one federal agency conditioning its National Environmental Policy Act (NEPA) input on payment from the lead agency."", ""salience_criterion"": ""cross_jurisdictional"", ""page"": 56, ""evidence_quote"": ""For us to provide meaningful input to the stream flow-reservoir fluctuation question as it relates to fishery resources would require the availability of funding to defer costs. In this regard we estimate the need for a field level transfer of $3,500 from your District to our Fort Worth Office."", ""why_notable"": ""A sister federal agency explicitly declined to provide substantive fishery analysis without an inter-agency funds transfer, which is atypical coordination friction on the record.""}","[p.56] For us to provide meaningful input to the stream flow-reservoir fluctuation question as it relates to fishery resources would require the availability of funding to defer costs. In this regard we estimate the need for a field level transfer of $3,500 from your District to our Fort Worth Office.",56,yes,composite=1.000,,,,
summary_of_interest[1],"{""claim"": ""The document reports that of 24 sulfur-oxide stack-gas cleaning installations at U.S. coal-fired plants of 150 MW or larger, none was in satisfactory operation in 1974 — a sweeping technology-failure claim used to reject the coal alternative."", ""salience_criterion"": ""contested"", ""page"": 49, ""evidence_quote"": ""Of 24 stack gas installations at coal-fired power plants of 150 MW or larger in the United States, none was in satisfactory operation in 1974."", ""why_notable"": ""The Environmental Impact Statement (EIS) leans on a categorical nationwide finding of pollution-control failure to eliminate coal, making the alternatives analysis unusually dependent on a single contestable technology claim.""}","[p.49] Of 24 stack gas installations at coal-fired power plants of 150 MW or larger in the United States, none was in satisfactory operation in 1974.",49,yes,composite=1.000,,,,
summary_of_interest[2],"{""claim"": ""The Environmental Impact Statement (EIS) rejects nuclear power by asserting that projected cumulative U.S. uranium demand through 2000 (2.4–3.1 million tons of U3O8) would exceed the estimated recoverable reserve base of 500,000 tons by roughly a factor of five to six."", ""salience_criterion"": ""contested"", ""page"": 50, ""evidence_quote"": ""The Federal Power Commission (1974) estimated that the cumulative requirement by the year 2000 will probably amount to between 2.4 and 3.1 million tons of \nU_3O_8\n which is considerably over the now estimated reserve base of 500,000 tons of economically recoverable uranium."", ""why_notable"": ""Using a national uranium-shortage forecast to justify a 57 MW hydro project is an unusually macro-scale rationale for eliminating an alternative at a single dam site.""}","[p.50] The Federal Power Commission (1974) estimated that the cumulative requirement by the year 2000 will probably amount to between 2.4 and 3.1 million tons of U_3O_8 which is considerably over the now estimated reserve base of 500,000 tons of economically recoverable uranium.",50,yes,composite=1.000,,,,
summary_of_interest[3],"{""claim"": ""Cold, low-oxygen bottom water released through the penstocks could reach 10–12 °C colder than ambient and carry near-zero dissolved oxygen plus elevated ammonia and hydrogen sulfide into the first 2.2 miles below the dam for roughly half the year, with possible fish kills."", ""salience_criterion"": ""unusual_impact"", ""page"": 39, ""evidence_quote"": ""Water quality with respect to aquatic life may be unacceptable in the first 2.2 miles below the dam during critical releases, i.e., releases after May until late November or early December. The primary impact will result from the released water being 10 to 12 degrees colder (centigrade scale) and containing low or negligible oxygen."", ""why_notable"": ""A seasonal, chemically toxic thermal-discharge zone of over two river miles is a substantial site-specific fishery hazard acknowledged in the document itself.""}","[p.39] Water quality with respect to aquatic life may be unacceptable in the first 2.2 miles below the dam during critical releases, i.e., releases after May until late November or early December. The primary impact will result from the released water being 10 to 12 degrees colder (centigrade scale) and containing low or negligible oxygen.",39,yes,composite=1.000,,,,
summary_of_interest[4],"{""claim"": ""Operation of the upstream Amistad plant would need to be coordinated with a separately-licensed downstream hydro plant run by the Maverick County Water Control and Improvement District No. 1 (FPC Licensed Project No. 1952-Texas), and both the Federal Power Commission and the District pressed for such coordination."", ""salience_criterion"": ""cross_jurisdictional"", ""page"": 61, ""evidence_quote"": ""it is suggested that the IBWC, Maverick County Water District and Central Power and Light Company consider the feasibility of coordinating their operations to obtain optimum generation from both hydro plants."", ""why_notable"": ""A federal international-boundary agency's releases would directly govern the viability of a locally-owned, FPC-licensed hydro plant downstream, creating a three-party operational entanglement unusual for a single-dam Environmental Impact Statement (EIS).""}","[p.61] it is suggested that the IBWC, Maverick County Water District and Central Power and Light Company consider the feasibility of coordinating their operations to obtain optimum generation from both hydro plants.",61,yes,composite=1.000,,,,
summary_of_interest[5],"{""claim"": ""The City of Eagle Pass raised concerns that altered Rio Grande flows could affect its drinking-water intake, Shelby Park, and its municipal golf course — putting a downstream city's potable water supply on the record as potentially at risk from upstream peaking operations."", ""salience_criterion"": ""community_pushback"", ""page"": 77, ""evidence_quote"": ""We have three major concerns; (1) the intake and holding facility for our portable water supply, (2) Shelby Park located in the Vega near the river, (3) the present 9-hole Golf Course and the anticipated expansion of the same."", ""why_notable"": ""A downstream municipality flagged its raw drinking-water intake as vulnerable to the peaking-release regime, an impact category more serious than typical recreational concerns at a hydropower retrofit.""}","[p.77] We have three major concerns; (1) the intake and holding facility for our portable water supply, (2) Shelby Park located in the Vega near the river, (3) the present 9-hole Golf Course and the anticipated expansion of the same.",77,yes,composite=1.000,,,,
alternatives[0],"{""name"": ""Proposed Action (Interim Condition – Two US Units)"", ""description"": ""Addition of two hydroelectric generating units on the United States side of Amistad Dam, providing 57,000 kW installed capacity and operated as a two-unit system with the existing Falcon powerhouse.""}","[p.48] a hydroelectric power plant facility of 57,000 kW installed capacity (32,000 kW at minimum head) to be added to the existing Amistad Dam",48,yes,composite=1.000,,,,
alternatives[1],"{""name"": ""Ultimate Condition (Two Units Each Side)"", ""description"": ""Addition of two generating units on both the United States and Mexican sides of Amistad Dam, resulting in a four-unit total addition and reduced energy available to US customers compared to the interim condition.""}","[p.48] the other condition for a two unit addition to both the United States and Mexican sides (i.e., 2 + 2)",48,yes,composite=1.000,,,,
alternatives[2],"{""name"": ""Natural Gas"", ""description"": ""Use of natural gas-fired power plants to supply equivalent peaking energy, rejected due to short supply, high cost, and a moratorium on new gas-fired plant construction.""}","[p.49] Natural gas is the most environmentally acceptable fuel since the stack emissins are very low in pollutants, and there is no ash.",49,yes,composite=1.000,,,,
alternatives[3],"{""name"": ""Fuel Oil"", ""description"": ""Use of fuel oil-fired power plants as an alternative energy source, rejected due to limited domestic supply, increasing cost of imported crude, and conflict with national self-sufficiency goals.""}",[p.49] Fuel oil is also a relatively clean burning fuel that leaves virtually no residue.,49,yes,composite=1.000,,,,
alternatives[4],"{""name"": ""Coal"", ""description"": ""Use of coal-fired steam electric generation as an alternative, considered less suitable than hydropower for peaking service and associated with unresolved stack gas emission problems.""}","[p.49] The combustion of coal results in emission to the atmosphere of oxides of sulfur and nitrogen, as well as fly ash.",49,yes,composite=1.000,,,,
alternatives[5],"{""name"": ""Lignite"", ""description"": ""Use of Texas lignite-fired steam electric plants as an alternative, rejected because lignite plants are base-load and inefficient for peaking, produce large quantities of residue, and have unsatisfactory stack gas emission controls.""}","[p.50] Lignite-fired steam electric generation is not a viable alternative to Amistad hydropower at this time because it is not efficient when used for peaking, because stack gas emission controls have not been developed satisfactorily, and because large quantities of residue require special handling.",50,yes,composite=1.000,,,,
alternatives[6],"{""name"": ""Nuclear"", ""description"": ""Use of nuclear power plants as an alternative energy source, rejected due to uncertainty in the long-term availability of uranium fuel supplies relative to projected cumulative demand.""}","[p.50] Since this fuel supply is in question, it cannot be considered a viable alternative to hydropower.",50,yes,composite=1.000,,,,
alternatives[7],"{""name"": ""No Action"", ""description"": ""Taking no action to add hydroelectric facilities at Amistad Dam, which would likely result in increased fossil fuel use, additional foreign oil imports, and further depletion of non-renewable domestic energy resources.""}",[p.50] The no action alternative implies that local power consumers can do without additional electrical energy in the face of increasing population.,50,yes,composite=1.000,,,,
themes,"{""themes"": [""Energy Systems"", ""Water Systems"", ""Wildlife and Natural Areas""], ""subthemes"": [""Energy Extraction and Production"", ""Energy Distribution and Consumption"", ""Water Infrastructure and Management"", ""Habitat Conservation and Biodiversity""]}","[p.10, 11, 48] construct a hydroelectric generating plant at the existing Amistad Dam and Reservoir which will provide environmentally clean, fast response energy to replace an equivalent amount generated by fossil fuels","10, 11, 48",yes,composite=1.000,,,,
location.places[0],"{""name"": ""Amistad Dam and Reservoir"", ""admin_hierarchy"": {""poi"": ""Amistad Dam"", ""neighborhood"": null, ""city"": null, ""county"": ""Val Verde County"", ""state"": ""Texas"", ""country"": ""United States""}, ""role"": ""primary""}","[p.3] Construction and operation of a conventional hydroelectric facility at Amistad Dam and Reservoir on the Rio Grande in Val Verde County, Texas.",3,yes,composite=1.000,,,,
location.places[1],"{""name"": ""Falcon Dam and Reservoir"", ""admin_hierarchy"": {""poi"": ""Falcon Dam"", ""neighborhood"": null, ""city"": null, ""county"": null, ""state"": ""Texas"", ""country"": ""United States""}, ""role"": ""primary""}",[p.11] The plan of operation includes operating the existing Falcon and the proposed Amistad hydroelectric plants as a two unit system.,11,yes,composite=1.000,,,,
location.places[2],"{""name"": ""Rio Grande"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": null, ""city"": null, ""county"": null, ""state"": ""Texas"", ""country"": ""United States""}, ""role"": ""primary""}","[p.10] The proposed action will be located on the Rio Grande in Val Verde County, Texas",10,yes,composite=1.000,,,,
location.places[3],"{""name"": ""Eagle Pass Project"", ""admin_hierarchy"": {""poi"": ""Central Power and Light's Eagle Pass plant"", ""neighborhood"": null, ""city"": ""Eagle Pass"", ""county"": null, ""state"": ""Texas"", ""country"": ""United States""}, ""role"": ""reference""}","[p.26] The Maverick County Water Control and Improvement District No. 1 project is located downstream from Amistad Dam near Eagle Pass, Texas.",26,yes,composite=1.000,,,,
location.places[4],"{""name"": ""Del Rio"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": null, ""city"": ""Del Rio"", ""county"": ""Val Verde County"", ""state"": ""Texas"", ""country"": ""United States""}, ""role"": ""reference""}","[p.10] This site is approximately 12 miles upstream from Del Rio, Texas.",10,yes,composite=1.000,,,,
location.places[5],"{""name"": ""Amistad National Recreation Area"", ""admin_hierarchy"": {""poi"": ""Amistad National Recreation Area"", ""neighborhood"": null, ""city"": null, ""county"": ""Val Verde County"", ""state"": ""Texas"", ""country"": ""United States""}, ""role"": ""reference""}","[p.24] The area administered by the Park Service is known as the Amistad National Recreation Area and comprises approximately 63,000 acres of land and water.",24,yes,composite=1.000,,,,
location.summary,"{""is_multi_site"": true, ""geocoded"": [{""lat"": 29.452177, ""lon"": -101.041965, ""bbox"": [-101.054615, 29.449935, -101.031552, 29.459526], ""source"": ""nominatim"", ""confidence"": 0.477, ""admin_hierarchy"": {""poi"": null, ""neighborhood"": null, ""city"": null, ""county"": ""Val Verde County"", ""state"": ""Texas"", ""country"": ""United States""}, ""level"": ""poi"", ""query"": ""Amistad Dam, Val Verde County, Texas, United States"", ""matched_name"": ""Amistad Dam Road, Amistad Village, Val Verde County, Texas, United States"", ""bbox_synthetic"": false, ""importance"": 0.053, ""confident"": false, ""stack"": ""reduced"", ""accepted_level"": ""poi"", ""acceptance_reason"": ""bbox_contained_in_county"", ""failed_containment_checks"": [], ""site_name"": ""Amistad Dam and Reservoir"", ""role"": ""primary""}, {""lat"": 26.558944, ""lon"": -99.164755, ""bbox"": [-99.164805, 26.558893, -99.164705, 26.558993], ""source"": ""nominatim"", ""confidence"": 0.517, ""admin_hierarchy"": {""poi"": null, ""neighborhood"": null, ""city"": null, ""county"": ""Starr County"", ""state"": ""Texas"", ""country"": ""United States""}, ""level"": ""poi"", ""query"": ""Falcon Dam, Texas, United States"", ""matched_name"": ""Falcon Dam, Starr County, Texas, 79584, United States"", ""bbox_synthetic"": false, ""importance"": 0.133, ""confident"": false, ""stack"": ""reduced"", ""accepted_level"": ""poi"", ""acceptance_reason"": ""bbox_contained_in_state"", ""failed_containment_checks"": [], ""site_name"": ""Falcon Dam and Reservoir"", ""role"": ""primary""}, {""lat"": 27.712141, ""lon"": -99.754612, ""bbox"": [-99.758906, 27.70562, -99.75114, 27.718128], ""source"": ""nominatim"", ""confidence"": 0.523, ""admin_hierarchy"": {""poi"": null, ""neighborhood"": null, ""city"": null, ""county"": ""Webb County"", ""state"": ""Texas"", ""country"": ""United States""}, ""level"": ""poi"", ""query"": ""Rio Grande, Texas, United States"", ""matched_name"": ""Rio Grande, Minera, Webb County, Texas, United States"", ""bbox_synthetic"": false, ""importance"": 0.147, ""confident"": false, ""stack"": ""reduced"", ""accepted_level"": ""poi"", ""acceptance_reason"": ""bbox_contained_in_state"", ""failed_containment_checks"": [], ""site_name"": ""Rio Grande"", ""role"": ""primary""}], ""scope"": ""site"", ""textual_location"": ""Rio Grande Basin"", ""corridor"": false}","[p.3, 10, 11, 24, 26] Construction and operation of a conventional hydroelectric facility at Amistad Dam and Reservoir on the Rio Grande in Val Verde County, Texas.","3, 10, 11, 24, 26 (field-level)",yes,composite=1.000,,,,
key_people.agency_preparers[0],"{""name"": ""J. F. Friedkin"", ""role"": ""United States Commissioner"", ""organization"": ""International Boundary and Water Commission, United States Section"", ""bucket"": ""agency_preparers""}","[p.2] J. F. FRIEDKIN, UNITED STATES COMMISSIONER",2,yes,composite=1.000,,,,
key_people.cooperating_agencies,,"[p.2] J. F. FRIEDKIN, UNITED STATES COMMISSIONER SEPTEMBER 1976",2 (field-level),yes,composite=1.000,,,,
key_people.consulted_entities,,"[p.2] J. F. FRIEDKIN, UNITED STATES COMMISSIONER SEPTEMBER 1976",2 (field-level),yes,composite=1.000,,,,
key_people.public_commenters,,"[p.2] J. F. FRIEDKIN, UNITED STATES COMMISSIONER SEPTEMBER 1976",2 (field-level),yes,composite=1.000,,,,
key_people.summary,"{""comment_response_present"": false}","[p.2] J. F. FRIEDKIN, UNITED STATES COMMISSIONER SEPTEMBER 1976",2 (field-level),yes,composite=1.000,,,,
