# doc_id: p1074_35556036525772
# work_id: 
# title: Proposed endangered species conservation act of 1973 (incomplete appendices) : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
summary_of_interest[0],"{""claim"": ""State fish and game agencies from at least ten states mounted coordinated opposition to shifting authority over resident (non-migratory) wildlife from states to the federal government, with Kansas explicitly labeling the transfer 'precedent setting' — a jurisdictional fight that goes to the heart of what became the modern Endangered Species Act."", ""salience_criterion"": ""contested"", ""page"": null, ""evidence_quote"": ""The Kansas Forestry, Fish, and Game Commission, objects to tranfer of jurisdiction, from States to Federal agencies, over any resident wildlife species that the Secretary classifies as endangered and calls it \""precedent setting.\"""", ""why_notable"": ""The chunk records states framing this specific federal preemption as precedent-setting, signaling that commenters themselves understood the bill as a structural shift in wildlife governance rather than a routine amendment.""}","[no page cited] [NO] The Kansas Forestry, Fish, and Game Commission, objects to tranfer of jurisdiction, from States to Federal agencies, over any resident wildlife species that the Secretary classifies as endangered and calls it ""precedent setting.""",,no,composite=0.400,,,,
summary_of_interest[1],"{""claim"": ""The drafters quantified the consequences of the 'repeal without replacement' alternative as roughly 10 species going extinct within 10 years and 25 to 30 within 20 years — an unusually explicit extinction body-count attached to a no-action-style alternative."", ""salience_criterion"": ""large_magnitude"", ""page"": 71, ""evidence_quote"": ""An estimated 10 species would become extinct within 10 years and possibly 25 or 30 species in 20 years."", ""why_notable"": ""EISs rarely attach hard extinction numbers to an alternative; this quantification was used to justify rejecting outright repeal of the 1969 Act.""}",[p.71] An estimated 10 species would become extinct within 10 years and possibly 25 or 30 species in 20 years.,71,yes,composite=0.400,,,,
summary_of_interest[2],"{""claim"": ""The Florida Audubon Society, Archbold Biological Station, and a University of Miami reviewer objected in unusually pointed terms to splitting jurisdiction with the Department of Commerce, arguing Commerce's mandate to maximize fishery production is fundamentally incompatible with protecting species like the blue whale and sea otter."", ""salience_criterion"": ""contested"", ""page"": 96, ""evidence_quote"": ""THE FLORIDA AUDUBON SOCIETY CONSIDERS THIS ALTERNATIVE THE MOST IMPORTANT COMMENT IN THE DRAFT IMPACT STATEMENT. THE DEPARTMENT OF COMMERCE HAS NO BUSINESS REGULATING THE TAKING OF ENDANGERED SPECIES SUCH AS THE BLUE WHALE, SEA OTTER, ETC."", ""why_notable"": ""This is a substantive inter-agency conflict flagged by conservation scientists as the single most important issue in the draft, and it foreshadows the enduring NMFS/FWS split under the eventual Endangered Species Act (ESA).""}","[p.96] THE FLORIDA AUDUBON SOCIETY CONSIDERS THIS ALTERNATIVE THE MOST IMPORTANT COMMENT IN THE DRAFT IMPACT STATEMENT. THE DEPARTMENT OF COMMERCE HAS NO BUSINESS REGULATING THE TAKING OF ENDANGERED SPECIES SUCH AS THE BLUE WHALE, SEA OTTER, ETC.",96,yes,composite=0.400,,,,
summary_of_interest[3],"{""claim"": ""The bill would authorize adding as many as 1,000 species, subspecies, or populations to the endangered list — an order-of-magnitude expansion of federal wildlife protection driven by the new 'likely within the foreseeable future to become threatened' category."", ""salience_criterion"": ""large_magnitude"", ""page"": null, ""evidence_quote"": ""Preliminary estimates indicate that this new authority may add as many as 1,000 species, subspecies or population\n\nsegments to the present endangered species list"", ""why_notable"": ""The document itself acknowledges the proposed 'threatened' tier could roughly multiply the protected list by an order of magnitude, which is what several states cite when calling the vague standard a threat to land and water projects.""}","[no page cited] [NO] Preliminary estimates indicate that this new authority may add as many as 1,000 species, subspecies or population segments to the present endangered species list",,no,composite=0.400,,,,
summary_of_interest[4],"{""claim"": ""The bill would eliminate the previous $15 million total cap on habitat acquisition, replacing a hard fiscal ceiling with acquisition 'limited only by availability of funds' — an unusually open-ended federal land-buying authority for a wildlife statute."", ""salience_criterion"": ""unusual_impact"", ""page"": 278, ""evidence_quote"": ""Acquisition authorized and limited only by availability of funds."", ""why_notable"": ""The chunk's side-by-side comparison shows the 1969 Act's concrete per-area, per-year, and cumulative dollar caps being replaced with no cap at all, which is the specific mechanism enabling large-scale federal habitat land purchases going forward.""}",[p.278] Acquisition authorized and limited only by availability of funds.,278,yes,composite=0.400,,,,
summary_of_interest[5],"{""claim"": ""In response to public comment, the drafters added the 'no action' alternative (continue under the 1969 Act) that had been omitted from the draft, and rewrote the 'irretrievable commitments' section to acknowledge that time, displaced non-listed species, and foregone land uses are real commitments — a visible case of commenters reshaping the National Environmental Policy Act (NEPA) analysis itself."", ""salience_criterion"": ""community_pushback"", ""page"": 143, ""evidence_quote"": ""The Environmental Statement has been revised to include the alternative of continuing administration of the program under the present authority (alternative 5)."", ""why_notable"": ""The document explicitly credits a Missouri comment with forcing inclusion of the no-action alternative, an early example of National Environmental Policy Act (NEPA) public comment demonstrably altering the alternatives analysis.""}",[p.143] The Environmental Statement has been revised to include the alternative of continuing administration of the program under the present authority (alternative 5).,143,yes,composite=0.400,,,,
alternatives[0],"{""name"": ""Sole Interior Administration"", ""description"": ""Continue sole administration of the endangered species program by the Department of the Interior, without granting partial jurisdiction to the Department of Commerce for any marine species.""}","[p.96] An alternative to the proposed action would be to continue sole administration of the endangered species program by the Interior, the department charged with primary responsibility for protection of the Nation's wildlife resources.",96,yes,composite=1.000,,,,
alternatives[1],"{""name"": ""No Action / Continue Under Existing Authority"", ""description"": ""Continue administering the endangered species program under existing statutory authority rather than enacting new legislation, representing the no-action alternative added in response to Missouri's comment.""}",[p.143] The Environmental Statement has been revised to include the alternative of continuing administration of the program under the present authority (alternative 5).,143,yes,composite=1.000,,,,
alternatives[2],"{""name"": ""Amendments to Existing Laws"", ""description"": ""Rather than passing entirely new legislation, amend existing laws (P.L. 89-669 and P.L. 91-135) to delete current funding ceilings and expand the Secretary's authority to regulate importation of animals taken on the high seas.""}",[p.174] Passage of amendments to delete current ceilings in P. L. 89-669 and to give the Secretary authority to regulate importation of animals taken on the high seas in P. L. 91-135 could more readily be obtained than could passage of new legislation.,174,yes,composite=1.000,,,,
alternatives[3],"{""name"": ""State-Led Regulation with Model Nongame Law"", ""description"": ""Achieve the objectives of the proposed legislation by having all states adopt the Model Nongame Wildlife law, thereby providing states—which possess the only adequate enforcement machinery—with authority to act on endangered species.""}","[p.175] Adoption of the Model Nongame Wildlife law by all States would accomplish this objective and provide the States, who possess the only adequate enforcement machinery, authority to act.",175,yes,composite=1.000,,,,
alternatives[4],"{""name"": ""Selective Imposition of Sanctions"", ""description"": ""Use selective imposition of the sanctions authorized by the bill, such as withholding federal support, to encourage state compliance rather than a blanket transfer of jurisdiction.""}","[p.198] In the third paragraph of the section headed ""Alternatives"" it refers to ""...selective imposition of the sanctions authorized by this bill...""",198,yes,composite=1.000,,,,
themes,"{""themes"": [""Wildlife and Natural Areas"", ""Governance and Institutional Control""], ""subthemes"": [""Habitat Conservation and Biodiversity"", ""Human-Wildlife Interactions"", ""Environmental Regulation and Policy"", ""Institutional Power and Resource Management""]}","[p.7, 8] FINAL ENVIRONMENTAL STATEMENT ON THE PROPOSED ENDANGERED SPECIES CONSERVATION ACT OF 1973","7, 8",yes,composite=1.000,,,,
location,"{""places"": [], ""is_multi_site"": false, ""geocoded"": [], ""scope"": ""national"", ""textual_location"": ""national"", ""corridor"": false}",,,,composite=0.000,,,,
key_people.agency_preparers,,,,,composite=0.150,,,,
key_people.cooperating_agencies,,,,,composite=0.150,,,,
key_people.consulted_entities,,,,,composite=0.150,,,,
key_people.public_commenters,,,,,composite=0.150,,,,
key_people.summary,"{""comment_response_present"": false}",,,,composite=0.150,,,,
