# doc_id: p1074_35556036861797
# work_id: csv:35556036861797
# title: Average fuel economy standard for nonpassenger automobiles, model year 1979 : environmental impact statement.
# n_commenters: 35
# n_complaints: 69
# n_responses: 41
# grade options: correct|minor_issue|wrong|cant_tell
# stance vocab: in_favor|opposed|conditional|neutral
# kind vocab: individual|official|organization|agency|tribe|government|other
# response_pages: resolved by searching source per-page JSON for the response opening_anchor; '?' means anchor did not match any page.

complainer_id,entity,kind,role,stance,stance_confidence,comment_pages_from,comment_pages_to,comment_pages_all,n_complaints,responded,response_ids,response_pages,response_agency,needs_human_review,human_review_reasons,your_grade,your_notes
p1074_35556036861797_K030,"U.S. Department of the Interior, Bureau of Mines",agency,federal agency / commenter,conditional,medium,112,112,112,1,N,,,,no,,,
p1074_35556036861797_K031,U.S. Department of Transportation,agency,commenter (no substantive comments),neutral,medium,112,112,112,1,N,,,,no,,,
p1074_35556036861797_K028,International Harvester,organization,automobile manufacturer / commenter,conditional,medium,120,146,"120,146",2,Y,p1074_35556036861797_R027;p1074_35556036861797_R034,119;146,National Highway Traffic Safety Administration,no,,,
p1074_35556036861797_K026,Chrysler,organization,automobile manufacturer / commenter,opposed,medium,129,157,"129,146,155,157",5,Y,p1074_35556036861797_R033;p1074_35556036861797_R036;p1074_35556036861797_R038;p1074_35556036861797_R039,143;153;156;157,agency,no,,,
p1074_35556036861797_K032,United Auto Workers (UAW),organization,labor union / commenter,opposed,medium,133,133,133,1,Y,p1074_35556036861797_R028,130,NHTSA,yes,quote_not_verbatim,,
p1074_35556036861797_K027,General Motors,organization,automobile manufacturer / commenter,conditional,medium,134,160,"134,146,160",4,Y,p1074_35556036861797_R029;p1074_35556036861797_R030;p1074_35556036861797_R041,130;135;157,NHTSA,no,,,
p1074_35556036861797_K035,Ford,organization,automobile manufacturer / commenter,opposed,medium,141,158,"141,143,146,158",4,Y,p1074_35556036861797_R031;p1074_35556036861797_R032;p1074_35556036861797_R035;p1074_35556036861797_R040,144;149;155;159,NHTSA,no,,,
p1074_35556036861797_K034,EPA,agency,Federal emissions standards regulator,neutral,medium,145,152,"145,152",2,N,,,,no,,,
p1074_35556036861797_K033,Congress,government,U.S. legislative body / established passenger automobile standard,neutral,medium,156,163,"156,163",2,Y,p1074_35556036861797_R037,157,National Highway Traffic Safety Administration,no,,,
p1074_35556036861797_K002,"Assistant Secretary for Environment, Safety and Consumer Affairs",official,Commenter / DOT official,neutral,low,19,19,19,1,N,,,,yes,low_stance_confidence;no_complaints,,
p1074_35556036861797_K023,University of Michigan (UM),organization,academic institution / commenter,neutral,low,19,108,"19,108",1,N,,,,yes,low_stance_confidence;no_complaints,,
