# doc_id: p1074_35556036543080
# work_id: 
# title: Boston demolition plan : environmental impact statement.
# pass: blind
# source: run_manifest.json
# artifact_stage: v1
# grade options: correct|minor_issue|wrong|cant_tell
# BLIND PASS (MCAL_PLAN 7 Q5). critic_verdict is deliberately ABSENT and your_notes is deliberately EMPTY. Grade from extracted_value, quote and source_pages only. Do not open the reveal sheet until this one is finished: the human grade and the Critic verdict must be independent, because their agreement is what fits the conformal thresholds.
# page numbers are EXACT (from per-page JSON source).
# quote_verified: yes = quote located on the cited page +/-2 (OCR-normalized, mcal/quote_check.py); mixed = partially supported; no = not located.
# your_failure_tag: one tag from the tags[<field>] line below matching this row's field, or blank if your_grade is 'correct'. Leave blank rather than guessing -- an untagged defect is a signal that the taxonomy needs a new code.
# soi_useful (yes|no): fill ONCE, on the summary_of_interest row. Did summary_of_interest tell you something the standard summary.* fields did not? An empty summary_of_interest is a correct result for a routine document, so 'no' on an empty list is not a criticism of the field.
# extracted_value and quote are NOT truncated (MCAL_PLAN 6 acceptance item 4: gradable without opening another file).
# tags[title]: T04_undefined_acronym
# tags[year]: T11_year_ocr_error
# tags[eis_type]: T12_eis_type_confused_with_rod
# tags[lead_agency]: T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator
# tags[summary.overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.project_description]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.affected_community]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.alternatives_overview]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.environmental_impact]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary.public_response]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T19_scope_qualifier_dropped
# tags[summary_of_interest]: T01_missing_citation, T02_numeric_hallucination, T03_outside_text_fabrication, T04_undefined_acronym, T15_jargon_without_gloss, T16_abstract_when_concrete_available, T17_manufactured_salience, T18_salience_duplicates_summary, T19_scope_qualifier_dropped
# tags[alternatives]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T10_alternatives_chapter_missed
# tags[themes]: T03_outside_text_fabrication, T04_undefined_acronym
# tags[location]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T06_geocode_missing, T07_geocode_wrong_specificity, T08_scope_misclassified_national, T09_multi_site_partial_geocode, T14_regional_scope_underspecified
# tags[key_people]: T01_missing_citation, T03_outside_text_fabrication, T04_undefined_acronym, T05_commenter_mislabeled_as_cooperator, T13_pre_1978_nepa_format, T20_role_bucket_underpopulated

field,extracted_value,quote,source_pages,quote_verified,model_confidence,your_grade,your_failure_tag,your_notes,soi_useful
summary_of_interest[0],"{""claim"": ""The demolition program targets neighborhoods whose abandonment the environmental impact statement (EIS) explicitly ties to the collapse of the BBURG bank mortgage program — a race-linked redlining episode — with Wellington Hill in Mattapan going from 4 Black residents in 1960 to over 4,000 in 1970 and Roxbury being roughly 79 percent Black with average incomes of $6,300."", ""salience_criterion"": ""unusual_impact"", ""page"": 43, ""evidence_quote"": ""the negative effects of BBURG have been especially severe for Dorchester as is evidenced by high rates of mortgage foreclosure, a deteriorated housing stock, high turnover of home ownership"", ""why_notable"": ""The environmental impact statement (EIS) grounds its analysis of the affected population in a specific discriminatory-lending episode and identifies the burdened neighborhoods as predominantly Black and low-income, an environmental-justice framing unusual for a 1976 Housing and Urban Development (HUD) demolition EIS.""}","[p.43] the negative effects of BBURG have been especially severe for Dorchester as is evidenced by high rates of mortgage foreclosure, a deteriorated housing stock, high turnover of home ownership",43,yes,composite=0.650,,,,
summary_of_interest[1],"{""claim"": ""Massachusetts Department of Environmental Quality Engineering (DEQE) flatly rejected the draft environmental impact statement (EIS)'s air, water, and solid-waste analyses as inadequate — one section called 'extremely simplistic' — even though Environmental Protection Agenty (EPA) rated the same draft 'LO-1' with no objections."", ""salience_criterion"": ""contested"", ""page"": 205, ""evidence_quote"": ""The Department of Environmental Quality Engineering (DEQE) has found the Draft EIS to be inadequate."", ""why_notable"": ""Two regulators reviewing the same draft reached opposite conclusions, and the state agency's rejection forced the city to add new dispersion modeling and sampling in Appendix H.""}",[p.205] The Department of Environmental Quality Engineering (DEQE) has found the Draft EIS to be inadequate.,205,yes,composite=0.650,,,,
summary_of_interest[2],"{""claim"": ""Measured particulate concentrations next to an unwetted wood-frame demolition averaged about 20,928 µg/m³, with a peak of 33,644 µg/m³ downwind — more than 200 times the 150 µg/m³ 24-hour ambient standard."", ""salience_criterion"": ""large_magnitude"", ""page"": 223, ""evidence_quote"": ""Demolition of a Wood Frame House on Tower Street. No Dust Control."", ""why_notable"": ""The document's own sampling shows on-site particulate levels orders of magnitude above the ambient air-quality standard, which is why continuous wetting became a contract requirement rather than a recommendation.""}",[p.223] Demolition of a Wood Frame House on Tower Street. No Dust Control.,223,yes,composite=0.650,,,,
summary_of_interest[3],"{""claim"": ""The Dorchester Historical Society warned that no adequate historical inventory exists for the demolition areas and that some buildings slated for razing likely qualify for the National Register, meaning the city cannot know in advance what historic fabric it is destroying."", ""salience_criterion"": ""community_pushback"", ""page"": 197, ""evidence_quote"": ""there exists no suitable inventory of the area that would allow us to determine if any of the properties scheduled for demolition or properties that might be adversly affected by their demolition would meet the requirements for listing on the National Register"", ""why_notable"": ""A local historical society is telling the lead agency that the Section 106 review cannot be performed on the record before it — a substantive gap in the historic-preservation analysis raised by the affected community.""}",[p.197] there exists no suitable inventory of the area that would allow us to determine if any of the properties scheduled for demolition or properties that might be adversly affected by their demolition would meet the requirements for listing on the National Register,197,yes,composite=0.650,,,,
summary_of_interest[4],"{""claim"": ""The two-year program would generate about 135,000 tons of demolition debris — roughly double the Boston Building Department's normal annual output — that must fit into only four state-approved private landfills (in Amesbury, Berkley, and Plainville) or the new RESCO incinerator in Saugus."", ""salience_criterion"": ""large_magnitude"", ""page"": 90, ""evidence_quote"": ""As of December 1975, there were only four privately owned, state approved sanitary landfills that might accept Boston's demolition wastes: two in Amesbury on Hunt Road, one in Berkley, on County Road, and one in Plainville at the intersections of Routes 1 and 495."", ""why_notable"": ""The program's waste volume roughly doubles the city's normal load while relying on a very small set of out-of-city disposal sites, a bottleneck the environmental impact statement (EIS) itself identifies.""}","[p.90] As of December 1975, there were only four privately owned, state approved sanitary landfills that might accept Boston's demolition wastes: two in Amesbury on Hunt Road, one in Berkley, on County Road, and one in Plainville at the intersections of Routes 1 and 495.",90,yes,composite=0.650,,,,
summary_of_interest[5],"{""claim"": ""Community pushback in Mission Hill focused not on demolition per se but on institutional 'land-banking': roughly 150 buildings had already been razed over the prior decade, leaving 23 acres of vacant land, and residents wanted those parcels reserved for residential redevelopment rather than added to."", ""salience_criterion"": ""community_pushback"", ""page"": 52, ""evidence_quote"": ""Twenty-three acres of predominantly vacant land exist here because approximately 150 buildings have been razed over the last 10 years through institutional \""land-banking.\"" Neighborhood interest focuses on the need to save these parcels of land for residential redevelopment."", ""why_notable"": ""Residents are framing further demolition as compounding a prior pattern of institutional clearance rather than as blight removal, and this concern is fed back into Little City Hall demolition-priority setting.""}","[p.52] Twenty-three acres of predominantly vacant land exist here because approximately 150 buildings have been razed over the last 10 years through institutional ""land-banking."" Neighborhood interest focuses on the need to save these parcels of land for residential redevelopment.",52,yes,composite=0.650,,,,
alternatives[0],"{""name"": ""Rehabilitation"", ""description"": ""Rehabilitating abandoned buildings rather than demolishing them, as an alternative response to the problem of abandoned and unsafe structures in the impact area.""}",[p.6] REHABILITATION,6,yes,composite=1.000,,,,
alternatives[1],"{""name"": ""Boarding"", ""description"": ""Boarding up abandoned buildings to secure them and prevent further deterioration, as an alternative to demolition.""}",[p.6] BOARDING,6,yes,composite=1.000,,,,
alternatives[2],"{""name"": ""No Action"", ""description"": ""Taking no action on the abandoned buildings, leaving them in their current state without demolition, rehabilitation, or boarding.""}",[p.6] NO ACTION,6,yes,composite=1.000,,,,
themes,"{""themes"": [""Urban Development"", ""Place Based Development Conflicts"", ""Industrial Production and Materials""], ""subthemes"": [""Urban Expansion and Land Use Change"", ""Housing, Planning, and Built Environment"", ""Community Resistance and Activism"", ""Resource Extraction and Material Flows"", ""Industrial Manufacturing and Pollution""]}","[p.3, 25, 27] demolish 900 abandoned and unsafe residential buildings over two years. Its purpose is to remove a fire, safety and health hazard from the environment. The demolition program is part of a coordinated Neighborhood Improvement Program. It will be implemented in 7 areas of the city: Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Upham's Corner, and Mattapan.","3, 25, 27",yes,composite=1.000,,,,
location.places[0],"{""name"": ""Roxbury"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Roxbury"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}","[p.3] It will be implemented in 7 areas of the city: Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Upham's Corner, and Mattapan.",3,yes,composite=1.000,,,,
location.places[1],"{""name"": ""Dorchester"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Dorchester"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}","[p.3] It will be implemented in 7 areas of the city: Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Upham's Corner, and Mattapan.",3,yes,composite=1.000,,,,
location.places[2],"{""name"": ""Jamaica Plain"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Jamaica Plain"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}","[p.3] It will be implemented in 7 areas of the city: Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Upham's Corner, and Mattapan.",3,yes,composite=1.000,,,,
location.places[3],"{""name"": ""South Boston"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""South Boston"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}","[p.3] It will be implemented in 7 areas of the city: Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Upham's Corner, and Mattapan.",3,yes,composite=1.000,,,,
location.places[4],"{""name"": ""Franklin Field"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Franklin Field"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}","[p.3] It will be implemented in 7 areas of the city: Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Upham's Corner, and Mattapan.",3,yes,composite=1.000,,,,
location.places[5],"{""name"": ""Upham's Corner"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Upham's Corner"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}","[p.3] It will be implemented in 7 areas of the city: Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Upham's Corner, and Mattapan.",3,yes,composite=1.000,,,,
location.places[6],"{""name"": ""Mattapan"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Mattapan"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}","[p.3] It will be implemented in 7 areas of the city: Roxbury, Dorchester, Jamaica Plain, South Boston, Franklin Field, Upham's Corner, and Mattapan.",3,yes,composite=1.000,,,,
location.places[7],"{""name"": ""Mission Hill"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Mission Hill"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}",[p.5] JAMAICA PLAIN AND MISSION HILL - LITTLE CITY HALL AREA PROFILE,5,yes,composite=1.000,,,,
location.places[8],"{""name"": ""Codman Square"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Codman Square"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}",[p.25] 200 buildings (500 dwelling units) are being razed in the Codman Square and Mount Bowdoin neighborhoods of Dorchester and in Franklin Field.,25,yes,composite=1.000,,,,
location.places[9],"{""name"": ""Mount Bowdoin"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Mount Bowdoin"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""primary""}",[p.25] 200 buildings (500 dwelling units) are being razed in the Codman Square and Mount Bowdoin neighborhoods of Dorchester and in Franklin Field.,25,yes,composite=1.000,,,,
location.places[10],"{""name"": ""Wellington Hill"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Wellington Hill"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""reference""}","[p.20] the BBURG area was expanded to include parts of the South End, Roxbury, North Dorchester and, eventually, Wellington Hill—an area inhabited at the time by predominantly Jewish homeowners whose mortgages were fully paid.",20,yes,composite=1.000,,,,
location.places[11],"{""name"": ""South End"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""South End"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""reference""}","[p.20] the BBURG area was expanded to include parts of the South End, Roxbury, North Dorchester and, eventually, Wellington Hill",20,yes,composite=1.000,,,,
location.places[12],"{""name"": ""Washington Park"", ""admin_hierarchy"": {""poi"": null, ""neighborhood"": ""Washington Park"", ""city"": ""Boston"", ""county"": null, ""state"": ""Massachusetts"", ""country"": null}, ""role"": ""reference""}","[p.20] BBURG, organized in 1962, was an association of 20 banks formed to service FHA loans for construction and rehabilitation in the Washington Park urban renewal area of Roxbury.",20,yes,composite=1.000,,,,
